  kp gain   kd gain         mean       median       min          max   % below 20
   2.5E11    2.5E12      36.8425      23.6948    0.0000     176.8503      53.0329
   5.0E11    5.0E12      35.1181      20.1830    0.0000     179.2975      62.7937
   7.5E11    7.5E12      35.5645      20.7608    0.0000     174.0507      57.2315
   1.0E12    1.0E13      35.1181      20.1830    0.0000     179.2975      62.7937
   1.2E12    1.2E13      30.2522      15.8327    0.0000     172.1328      67.8399
   1.5E12    1.5E13      35.5645      20.7608    0.0000     174.0507      57.2315
   1.8E12    1.8E13      38.0801      23.1575    0.0000     176.8321      55.7758
   2.0E12    2.0E13      35.1181      20.1830    0.0000     179.2975      62.7937
   2.2E12    2.2E13      30.9627      18.1943    0.0000     176.8071      61.4993
   2.5E12    2.5E13      30.2522      15.8327    0.0000     172.1328      67.8399
   2.8E12    2.8E13      31.2513      17.9481    0.0000     173.3239      65.5384
   3.0E12    3.0E13      35.5645      20.7608    0.0000     174.0507      57.2315
   3.2E12    3.2E13      33.4496      19.0233    0.0000     177.1164      61.0631
   3.5E12    3.5E13      38.0801      23.1575    0.0000     176.8321      55.7758
   3.8E12    3.8E13      35.0701      19.8738    0.0000     175.5330      62.3912
   4.0E12    4.0E13      35.1181      20.1830    0.0000     179.2975      62.7937
   4.2E12    4.2E13      35.0014      21.4061    0.0000     176.9202      55.7882
   4.5E12    4.5E13      30.9627      18.1943    0.0000     176.8071      61.4993
   4.8E12    4.8E13      34.7212      19.9696    0.0000     177.4355      60.7936
   5.0E12    5.0E13      30.2522      15.8327    0.0000     172.1328      67.8399
   5.2E12    5.2E13      31.6988      17.1971    0.0000     179.1129      67.2654
   5.5E12    5.5E13      31.2513      17.9481    0.0000     173.3239      65.5384
   5.8E12    5.8E13      32.7773      17.7696    0.0000     172.9987      66.2760
   6.0E12    6.0E13      35.5645      20.7608    0.0000     174.0507      57.2315
   6.2E12    6.2E13      34.0655      22.4507    0.0000     154.2631      55.2758
   6.5E12    6.5E13      33.4496      19.0233    0.0000     177.1164      61.0631
   6.8E12    6.8E13      33.0862      18.1511    0.0000     172.3292      63.2440
   7.0E12    7.0E13      38.0801      23.1575    0.0000     176.8321      55.7758
   7.2E12    7.2E13      35.7307      22.0706    0.0000     177.3148      54.4655
   7.5E12    7.5E13      35.0701      19.8738    0.0000     175.5330      62.3912
   7.8E12    7.8E13      35.4470      21.7590    0.0000     175.5140      58.6269
   8.0E12    8.0E13      35.1181      20.1830    0.0000     179.2975      62.7937
   8.2E12    8.2E13      31.1310      17.3240    0.0000     174.5939      66.1537
   8.5E12    8.5E13      35.0014      21.4061    0.0000     176.9202      55.7882
   8.8E12    8.8E13      34.4340      21.0869    0.0000     179.3898      57.9762
   9.0E12    9.0E13      30.9627      18.1943    0.0000     176.8071      61.4993
   9.2E12    9.2E13      33.6279      19.0040    0.0000     173.2929      64.9746
   9.5E12    9.5E13      34.7212      19.9696    0.0000     177.4355      60.7936
   9.8E12    9.8E13      33.0670      19.8034    0.0000     172.9480      62.9639
   2.5E12    2.5E13      30.2522      15.8327    0.0000     172.1328      67.8399
   5.0E12    5.0E13      30.2522      15.8327    0.0000     172.1328      67.8399
   7.5E12    7.5E13      35.0701      19.8738    0.0000     175.5330      62.3912
   1.0E13    1.0E14      30.2522      15.8327    0.0000     172.1328      67.8399
   1.2E13    1.2E14      34.0655      22.4507    0.0000     154.2631      55.2758
   1.5E13    1.5E14      35.0701      19.8738    0.0000     175.5330      62.3912
   1.8E13    1.8E14      34.4340      21.0869    0.0000     179.3898      57.9762
   2.0E13    2.0E14      30.2522      15.8327    0.0000     172.1328      67.8399
   2.2E13    2.2E14      33.3534      21.0644    0.0000     178.6932      55.1871
   2.5E13    2.5E14      34.0655      22.4507    0.0000     154.2631      55.2758
   2.8E13    2.8E14      37.1559      22.2358    0.0000     177.4357      56.9372
   3.0E13    3.0E14      35.0701      19.8738    0.0000     175.5330      62.3912
   3.2E13    3.2E14      34.7630      19.9034    0.0000     178.2994      60.8131
   3.5E13    3.5E14      34.4340      21.0869    0.0000     179.3898      57.9762
   3.8E13    3.8E14      35.3372      22.7375    0.0000     175.4494      53.1960
   4.0E13    4.0E14      30.2522      15.8327    0.0000     172.1328      67.8399
   4.2E13    4.2E14      34.1514      19.1799    0.0000     174.3572      62.2812
   4.5E13    4.5E14      33.3534      21.0644    0.0000     178.6932      55.1871
   4.8E13    4.8E14      31.5083      18.0786    0.0000     176.8187      66.0029
   5.0E13    5.0E14      34.0655      22.4507    0.0000     154.2631      55.2758
   5.2E13    5.2E14      32.9121      19.9505    0.0000     178.7556      58.4301
   5.5E13    5.5E14      37.1559      22.2358    0.0000     177.4357      56.9372
   5.8E13    5.8E14      35.9994      24.5426    0.0000     177.4663      55.0985
   6.0E13    6.0E14      35.0701      19.8738    0.0000     175.5330      62.3912
   6.2E13    6.2E14      35.2300      20.6995    0.0000     179.1696      59.7652
   6.5E13    6.5E14      34.7630      19.9034    0.0000     178.2994      60.8131
   6.8E13    6.8E14      33.1473      17.7453    0.0000     174.6592      68.1342
   7.0E13    7.0E14      34.4340      21.0869    0.0000     179.3898      57.9762
   7.2E13    7.2E14      34.7887      19.3020    0.0000     179.8626      64.4834
   7.5E13    7.5E14      35.3372      22.7375    0.0000     175.4494      53.1960
   7.8E13    7.8E14      34.5681      19.3659    0.0000     178.0878      61.5295
   8.0E13    8.0E14      30.2522      15.8327    0.0000     172.1328      67.8399
   8.2E13    8.2E14      36.1067      20.5588    0.0000     169.4803      60.8504
   8.5E13    8.5E14      34.1514      19.1799    0.0000     174.3572      62.2812
   8.8E13    8.8E14      34.8329      20.2101    0.0000     179.9129      61.0046
   9.0E13    9.0E14      33.3534      21.0644    0.0000     178.6932      55.1871
   9.2E13    9.2E14      35.5390      25.1159    0.0000     175.3212      51.0328
