  kp gain   kd gain         mean       median       min          max
     1E19      1E20      32.2410      17.9052    0.0000     179.4628
     2E19      2E20      32.2410      17.9052    0.0000     179.4628
     3E19      3E20      31.1131      17.1669    0.0000     175.7494
     4E19      4E20      32.2410      17.9052    0.0000     179.4628
     5E19      5E20      32.7579      19.2050    0.0000     178.3990
     6E19      6E20      31.1131      17.1669    0.0000     175.7494
     7E19      7E20      33.1134      18.8247    0.0000     174.6452
     8E19      8E20      32.2410      17.9052    0.0000     179.4628
     9E19      9E20      33.2719      20.8294    0.0000     171.2565
     1E20      1E21      32.7579      19.2050    0.0000     178.3990
     2E20      2E21      32.7579      19.2050    0.0000     178.3990
     3E20      3E21      32.8851      19.3699    0.0000     178.8946
     4E20      4E21      32.7579      19.2050    0.0000     178.3990
     5E20      5E21      30.6018      17.5338    0.0000     158.0151
     6E20      6E21      32.8851      19.3699    0.0000     178.8946
     7E20      7E21      34.5841      20.8617    0.0000     177.9840
     8E20      8E21      32.7579      19.2050    0.0000     178.3990
     9E20      9E21      33.3515      21.3508    0.0000     179.0078
     1E21      1E22      30.6018      17.5338    0.0000     158.0151
     2E21      2E22      30.6018      17.5338    0.0000     158.0151
     3E21      3E22      37.8774      24.3435    0.0000     177.6932
     4E21      4E22      30.6018      17.5338    0.0000     158.0151
     5E21      5E22      33.5064      19.9704    0.0000     179.6476
     6E21      6E22      37.8774      24.3435    0.0000     177.6932
     7E21      7E22      33.0054      18.0564    0.0000     176.7276
     8E21      8E22      30.6018      17.5338    0.0000     158.0151
     9E21      9E22      35.6748      21.2491    0.0000     177.8979
     1E22      1E23      33.5064      19.9704    0.0000     179.6476
     2E22      2E23      33.5064      19.9704    0.0000     179.6476
     3E22      3E23      34.4675      19.6651    0.0000     175.2269
     4E22      4E23      33.5064      19.9704    0.0000     179.6476
     5E22      5E23      34.8313      19.9563    0.0000     176.5867
     6E22      6E23      34.4675      19.6651    0.0000     175.2269
     7E22      7E23      30.9410      17.8868    0.0000     178.7198
     8E22      8E23      33.5064      19.9704    0.0000     179.6476
     9E22      9E23      34.8480      19.5336    0.0000     162.5271
     1E23      1E24      34.8313      19.9563    0.0000     176.5867
     2E23      2E24      34.8313      19.9563    0.0000     176.5867
     3E23      3E24      34.7642      20.5436    0.0000     170.9873
     4E23      4E24      34.8313      19.9563    0.0000     176.5867
     5E23      5E24      31.5565      17.7108    0.0000     179.1790
     6E23      6E24      34.7642      20.5436    0.0000     170.9873
     7E23      7E24      36.6756      22.4112    0.0000     179.5044
     8E23      8E24      34.8313      19.9563    0.0000     176.5867
     9E23      9E24      31.9647      18.1867    0.0000     178.5956
     1E24      1E25      31.5565      17.7108    0.0000     179.1790
     2E24      2E25      31.5565      17.7108    0.0000     179.1790
     3E24      3E25      35.2865      22.5182    0.0000     168.5477
     4E24      4E25      31.5565      17.7108    0.0000     179.1790
     5E24      5E25      34.5543      21.2558    0.0000     177.6926
     6E24      6E25      35.2865      22.5182    0.0000     168.5477
     7E24      7E25      37.5165      22.4101    0.0000     178.8443
     8E24      8E25      31.5565      17.7108    0.0000     179.1790
     9E24      9E25      34.2302      21.0796    0.0000     177.1548
     1E25      1E26      34.5543      21.2558    0.0000     177.6926
     2E25      2E26      34.5543      21.2558    0.0000     177.6926
     3E25      3E26      32.7288      18.8619    0.0000     172.9190
     4E25      4E26      34.5543      21.2558    0.0000     177.6926
     5E25      5E26      32.8527      17.5544    0.0000     169.7879
     6E25      6E26      32.7288      18.8619    0.0000     172.9190
     7E25      7E26      34.1269      19.5441    0.0000     179.8513
     8E25      8E26      34.5543      21.2558    0.0000     177.6926
     9E25      9E26      35.7997      20.5075    0.0000     179.2126
     1E26      1E27      32.8527      17.5544    0.0000     169.7879
     2E26      2E27      32.8527      17.5544    0.0000     169.7879
     3E26      3E27      33.7670      20.2633    0.0000     174.8734
     4E26      4E27      32.8527      17.5544    0.0000     169.7879
     5E26      5E27      33.9244      17.9492    0.0000     178.1051
     6E26      6E27      33.7670      20.2633    0.0000     174.8734
     7E26      7E27      32.0777      17.5838    0.0000     178.6529
     8E26      8E27      32.8527      17.5544    0.0000     169.7879
     9E26      9E27      32.6337      17.5461    0.0000     177.4366
     1E27      1E28      33.9244      17.9492    0.0000     178.1051
     2E27      2E28      33.9244      17.9492    0.0000     178.1051
     3E27      3E28      38.4835      24.8978    0.0000     178.8517
     4E27      4E28      33.9244      17.9492    0.0000     178.1051
     5E27      5E28      33.0469      20.5502    0.0000     175.0003
     6E27      6E28      38.4835      24.8978    0.0000     178.8517
     7E27      7E28      33.6856      17.3233    0.0000     177.8505
     8E27      8E28      33.9244      17.9492    0.0000     178.1051
     9E27      9E28      34.6489      20.4035    0.0000     178.7657
     1E28      1E29      33.0469      20.5502    0.0000     175.0003
     2E28      2E29      33.0469      20.5502    0.0000     175.0003
     3E28      3E29      33.9354      18.4512    0.0000     166.3350
     4E28      4E29      33.0469      20.5502    0.0000     175.0003
     5E28      5E29      36.5848      23.2649    0.0000     175.5168
     6E28      6E29      33.9354      18.4512    0.0000     166.3350
     7E28      7E29      32.5118      18.2386    0.0000     179.9673
     8E28      8E29      33.0469      20.5502    0.0000     175.0003
     9E28      9E29      36.1800      21.8749    0.0000     179.4610
     1E29      1E30      36.5848      23.2649    0.0000     175.5168
     2E29      2E30      36.5848      23.2649    0.0000     175.5168
     3E29      3E30      35.0002      19.9892    0.0000     178.0617
     4E29      4E30      36.5848      23.2649    0.0000     175.5168
     5E29      5E30      33.8190      18.3161    0.0000     179.5904
     6E29      6E30      35.0002      19.9892    0.0000     178.0617
     7E29      7E30      31.8534      18.2717    0.0000     178.6901
     8E29      8E30      36.5848      23.2649    0.0000     175.5168
     9E29      9E30      31.4415      17.7857    0.0000     176.4299
     1E30      1E31      33.8190      18.3161    0.0000     179.5904
     2E30      2E31      33.8190      18.3161    0.0000     179.5904
     3E30      3E31      34.0229      20.5253    0.0000     176.8223
     4E30      4E31      33.8190      18.3161    0.0000     179.5904
     5E30      5E31      32.2756      18.5350    0.0000     173.4401
     6E30      6E31      34.0229      20.5253    0.0000     176.8223
     7E30      7E31      35.9949      21.9836    0.0000     166.7006
     8E30      8E31      33.8190      18.3161    0.0000     179.5904
     9E30      9E31      34.7936      21.1408    0.0000     178.7486
     1E31      1E32      32.2756      18.5350    0.0000     173.4401
     2E31      2E32      32.2756      18.5350    0.0000     173.4401
     3E31      3E32      34.0047      20.7366    0.0000     173.9168
     4E31      4E32      32.2756      18.5350    0.0000     173.4401
     5E31      5E32      36.2898      23.0730    0.0000     179.4260
     6E31      6E32      34.0047      20.7366    0.0000     173.9168
     7E31      7E32      34.3729      22.0149    0.0000     167.1330
     8E31      8E32      32.2756      18.5350    0.0000     173.4401
     9E31      9E32      33.5716      19.3377    0.0000     177.7697
     1E32      1E33      36.2898      23.0730    0.0000     179.4260
     2E32      2E33      36.2898      23.0730    0.0000     179.4260
     3E32      3E33      34.1763      20.5554    0.0000     179.1908
     4E32      4E33      36.2898      23.0730    0.0000     179.4260
     5E32      5E33      36.2322      23.4547    0.0000     174.8282
     6E32      6E33      34.1763      20.5554    0.0000     179.1908
     7E32      7E33      32.9614      18.9343    0.0000     178.8580
     8E32      8E33      36.2898      23.0730    0.0000     179.4260
     9E32      9E33      35.5467      22.1922    0.0000     175.4863
     1E33      1E34      36.2322      23.4547    0.0000     174.8282
     2E33      2E34      36.2322      23.4547    0.0000     174.8282
     3E33      3E34      37.6221      25.2820    0.0000     176.4642
