  kp gain   kd gain         mean       median       min          max   % below 20
  1.00E04   1.00E05      81.8187      79.9159    0.0000     176.9120       5.1153
  1.25E04   1.25E05      83.0685      82.0274    0.0000     176.9546       4.1100
  1.50E04   1.50E05      72.0901      70.1604    0.0000     176.4518       4.6916
  1.75E04   1.75E05      74.9407      72.7862    0.0000     179.3183       5.1331
  2.00E04   2.00E05      70.4436      66.6250    0.0000     178.1882       4.9646
  2.25E04   2.25E05      70.4270      67.7861    0.0000     178.4759       5.2182
  2.50E04   2.50E05      66.7090      63.4107    0.0000     174.5211       5.2873
  2.75E04   2.75E05      65.4424      59.5227    0.0000     179.0788       6.4682
  3.00E04   3.00E05      58.7631      52.1598    0.0000     165.2944       9.9044
  3.25E04   3.25E05      58.9397      53.9506    0.0000     175.8365      10.0090
  3.50E04   3.50E05      54.6696      47.5485    0.0000     174.2838      13.4134
  3.75E04   3.75E05      58.5845      52.4714    0.0000     169.5544       8.0037
  4.00E04   4.00E05      52.7064      46.6817    0.0000     165.5198      12.7981
  4.25E04   4.25E05      50.6915      45.4332    0.0000     172.3898      13.6775
  4.50E04   4.50E05      56.7628      51.1805    0.0000     176.8513      10.9736
  4.75E04   4.75E05      47.0239      41.9887    0.0000     151.7107      14.5339
  5.00E04   5.00E05      45.0948      38.1769    0.0000     171.2751      18.0358
  5.25E04   5.25E05      53.6408      49.3680    0.0000     166.2316      11.2449
  5.50E04   5.50E05      43.2661      37.9718    0.0000     169.5759      18.2202
  5.75E04   5.75E05      48.9019      43.3360    0.0000     165.6753      13.8868
  6.00E04   6.00E05      45.0330      37.7789    0.0000     179.4161      17.3017
  6.25E04   6.25E05      45.4463      39.9786    0.0000     148.9497      16.3992
  6.50E04   6.50E05      39.8911      32.3955    0.0000     178.2463      24.4951
  6.75E04   6.75E05      44.8762      37.9407    0.0000     162.9878      16.0357
  7.00E04   7.00E05      48.3305      42.8916    0.0000     168.1998      19.3035
  7.25E04   7.25E05      36.6599      30.2188    0.0000     170.8319      32.9226
  7.50E04   7.50E05      36.4955      30.8165    0.0000     172.1434      28.2948
  7.75E04   7.75E05      38.5564      29.9216    0.0000     176.2202      28.4970
  8.00E04   8.00E05      31.5028      25.4913    0.0000     169.7264      40.4067
  8.25E04   8.25E05      35.2287      29.4949    0.0000     167.7038      28.9721
  8.50E04   8.50E05      37.4412      29.6773    0.0000     171.9485      31.2364
  8.75E04   8.75E05      40.4822      35.2898    0.0000     179.0132      23.1937
  9.00E04   9.00E05      37.6060      30.2252    0.0000     172.5591      32.9119
  9.25E04   9.25E05      34.9307      27.6427    0.0000     178.0037      33.3712
  9.50E04   9.50E05      25.8047      19.0789    0.0000     171.1605      57.2741
  9.75E04   9.75E05      35.1265      26.4992    0.0000     168.6266      35.4297
  1.00E05   1.00E06      39.4657      31.7901    0.0000     162.4989      30.9740
  1.25E05   1.25E06      31.8159      25.8559    0.0000     164.7570      39.0096
  1.50E05   1.50E06      29.3759      22.0812    0.0000     169.6577      44.7685
  1.75E05   1.75E06      30.0283      22.3842    0.0000     161.1177      46.3306
  2.00E05   2.00E06      25.4437      17.8842    0.0000     157.4985      61.9674
  2.25E05   2.25E06      26.4282      17.3168    0.0000     164.7078      61.7600
  2.50E05   2.50E06      28.4140      18.1752    0.0000     170.9409      64.3877
  2.75E05   2.75E06      23.2678      14.3236    0.0000     177.2207      67.9693
  3.00E05   3.00E06      34.9090      28.7364    0.0000     176.4087      41.7827
  3.25E05   3.25E06      25.5820      15.2335    0.0000     170.5722      64.3664
  3.50E05   3.50E06      25.3183      14.8350    0.0000     155.7187      63.9586
  3.75E05   3.75E06      24.1207      13.5431    0.0000     168.8615      74.0846
  4.00E05   4.00E06      27.1723      16.3265    0.0000     176.6951      66.0544
  4.25E05   4.25E06      20.2140      11.4023    0.0000     163.7862      74.9854
  4.50E05   4.50E06      21.2378      11.4933    0.0000     175.6410      77.7815
  4.75E05   4.75E06      21.6444      11.0592    0.0000     170.7009      71.7371
  5.00E05   5.00E06      18.6223      10.3885    0.0000     175.2670      76.5475
  5.25E05   5.25E06      17.4003       9.0686    0.0000     176.6170      82.8011
  5.50E05   5.50E06      22.1895      12.4030    0.0000     142.1437      70.5456
  5.75E05   5.75E06      23.1999      11.4969    0.0000     173.8441      79.6876
  6.00E05   6.00E06      26.1524      12.4238    0.0000     171.6532      66.2849
  6.25E05   6.25E06      17.6700       8.9528    0.0000     166.2127      83.0174
  6.50E05   6.50E06      19.2728      10.0062    0.0000     172.5663      80.9465
  6.75E05   6.75E06      17.3847       8.2224    0.0000     155.3923      89.0849
  7.00E05   7.00E06      25.6281      12.8180    0.0000     176.1284      70.3683
  7.25E05   7.25E06      24.1320      11.8704    0.0000     177.9818      69.1431
  7.50E05   7.50E06      17.3948       8.5990    0.0000     171.4208      81.7319
  7.75E05   7.75E06      21.8023      10.9386    0.0000     156.3143      73.8541
  8.00E05   8.00E06      21.1003       9.8931    0.0000     179.5042      76.6804
  8.25E05   8.25E06      23.2183      12.9535    0.0000     160.9813      72.2690
  8.50E05   8.50E06      17.7642       9.0296    0.0000     159.0668      83.7479
  8.75E05   8.75E06      22.1041       9.0999    0.0000     176.1953      79.1964
  9.00E05   9.00E06      21.9631      10.5198    0.0000     177.2976      71.5172
  9.25E05   9.25E06      25.9039      13.9870    0.0000     173.2040      67.6466
  9.50E05   9.50E06      26.8060      17.2467    0.0000     173.7347      64.4799
  9.75E05   9.75E06      23.9627      12.2290    0.0000     174.7333      76.0900
  1.00E06   1.00E07      27.3773      17.0457    0.0000     173.4762      60.4745
  1.25E06   1.25E07      19.9170       9.3576    0.0000     175.9777      73.1768
  1.50E06   1.50E07      18.4641       7.3193    0.0000     178.5478      86.9590
  1.75E06   1.75E07      25.5482      13.7886    0.0000     174.3770      62.2529
  2.00E06   2.00E07      21.7721      11.7296    0.0000     179.2070      74.6024
  2.25E06   2.25E07      20.1695       9.7055    0.0000     159.4520      77.1645
  2.50E06   2.50E07      16.1988       6.5668    0.0000     172.4381      91.0477
  2.75E06   2.75E07      16.2687       6.1334    0.0000     173.2601      91.5371
  3.00E06   3.00E07      17.7380       6.5845    0.0000     169.5799      83.5068
  3.25E06   3.25E07      21.1098       9.0677    0.0000     176.9280      80.0617
  3.50E06   3.50E07      18.1623       7.1267    0.0000     164.4315      78.4553
  3.75E06   3.75E07      18.7162       7.6034    0.0000     177.4109      83.6203
  4.00E06   4.00E07      19.6767       9.8627    0.0000     171.6379      75.5474
  4.25E06   4.25E07      20.8587       8.7673    0.0000     169.4878      80.2355
  4.50E06   4.50E07      20.7953       9.9462    0.0000     179.7100      80.3773
  4.75E06   4.75E07      23.5189      11.5716    0.0000     158.9527      69.1484
  5.00E06   5.00E07      21.4187      11.1124    0.0000     164.5698      78.0156
  5.25E06   5.25E07      23.2958      12.1595    0.0000     155.7749      70.7867
  5.50E06   5.50E07      24.3894      13.1621    0.0000     160.4826      65.9639
  5.75E06   5.75E07      18.2625       7.3175    0.0000     172.4958      85.4022
  6.00E06   6.00E07      19.9252       9.0725    0.0000     152.5931      77.7443
  6.25E06   6.25E07      27.1155      14.4173    0.0000     178.5341      65.1962
  6.50E06   6.50E07      23.0402       9.5319    0.0000     179.3297      79.3879
  6.75E06   6.75E07      18.5957       7.9729    0.0000     179.8872      83.2479
  7.00E06   7.00E07      22.3971       9.9130    0.0000     163.7820      74.8134
  7.25E06   7.25E07      19.8344       7.6040    0.0000     175.5339      80.8809
  7.50E06   7.50E07      18.4873       6.9669    0.0000     150.9091      83.5689
  7.75E06   7.75E07      22.6485       6.9757    0.0000     162.5790      81.5280
  8.00E06   8.00E07      20.3316       9.4225    0.0000     137.9941      78.7230
  8.25E06   8.25E07      24.4530      12.4541    0.0000     163.1582      66.9586
  8.50E06   8.50E07      19.3193       7.3206    0.0000     177.6788      83.4075
  8.75E06   8.75E07      25.9007      13.5050    0.0000     177.2382      64.8451
  9.00E06   9.00E07      25.5670      13.0146    0.0000     161.6503      71.8098
  9.25E06   9.25E07      24.5044      11.3957    0.0000     162.1647      72.3630
  9.50E06   9.50E07      26.1132      17.1944    0.0000     161.0218      64.3646
  9.75E06   9.75E07      21.0107       8.4926    0.0000     164.4778      76.3613
  1.00E07   1.00E08      26.8147      14.6525    0.0000     178.6146      62.5827
  1.25E07   1.25E08      29.5010      15.2336    0.0000     178.8036      69.1466
  1.50E07   1.50E08      26.7869      11.5457    0.0000     178.6224      73.6024
  1.75E07   1.75E08      23.1951      11.9518    0.0000     160.3341      74.5049
  2.00E07   2.00E08      22.6728      11.6101    0.0000     142.4304      70.4055
  2.25E07   2.25E08      24.5333      11.7817    0.0000     172.3149      72.7353
  2.50E07   2.50E08      23.8312      12.6642    0.0000     176.8969      73.0066
  2.75E07   2.75E08      24.3373      12.5951    0.0000     157.2028      66.3558
  3.00E07   3.00E08      27.7698      17.3430    0.0000     134.0355      61.1536
  3.25E07   3.25E08      23.4367      11.4397    0.0000     177.0537      75.3843
  3.50E07   3.50E08      31.2753      21.3377    0.0000     176.4221      53.7882
  3.75E07   3.75E08      26.4265      13.9205    0.0000     178.3103      66.0898
  4.00E07   4.00E08      27.2986      13.0513    0.0000     173.8176      70.0917
  4.25E07   4.25E08      24.4016      10.0493    0.0000     152.6989      73.4747
  4.50E07   4.50E08      18.6521       7.6541    0.0000     178.0389      84.5334
  4.75E07   4.75E08      26.5324      11.5681    0.0000     177.1509      71.2335
  5.00E07   5.00E08      22.6983      10.2644    0.0000     175.6151      72.6662
  5.25E07   5.25E08      22.7434      10.0019    0.0000     176.3538      74.3205
  5.50E07   5.50E08      20.1679       8.0033    0.0000     162.5691      80.3880
  5.75E07   5.75E08      25.8319      10.7503    0.0000     173.6808      72.7637
  6.00E07   6.00E08      21.4654       9.2190    0.0000     176.5091      80.9287
  6.25E07   6.25E08      28.2089      15.3332    0.0000     170.1607      62.0295
  6.50E07   6.50E08      24.0098      11.3611    0.0000     178.3409      69.1129
  6.75E07   6.75E08      21.3789       9.3863    0.0000     173.3322      82.3100
  7.00E07   7.00E08      23.8417      10.4984    0.0000     173.7674      75.4411
  7.25E07   7.25E08      24.7256       9.7587    0.0000     174.4108      76.3648
  7.50E07   7.50E08      26.4107      14.1984    0.0000     156.1192      67.6005
  7.75E07   7.75E08      28.4618      14.5038    0.0000     174.9705      68.9959
  8.00E07   8.00E08      20.2068       7.6761    0.0000     167.5823      84.5866
  8.25E07   8.25E08      26.3687      12.9808    0.0000     177.7662      66.4232
  8.50E07   8.50E08      32.1576      21.5775    0.0000     171.1641      54.8467
  8.75E07   8.75E08      24.0457      11.2984    0.0000     171.5906      72.2513
  9.00E07   9.00E08      25.4982      12.0857    0.0000     179.0059      67.9977
  9.25E07   9.25E08      23.3458       9.9305    0.0000     163.8553      78.0156
  9.50E07   9.50E08      27.1069      14.3308    0.0000     176.1733      67.1927
  9.75E07   9.75E08      21.0767       7.8138    0.0000     178.9165      80.2993
