  kp gain   kd gain         mean       median       min          max
     1E04      1E05      86.5367      85.3208    0.0000     179.2290
     2E04      2E05      81.2473      78.3777    0.0000     179.2286
     3E04      3E05      76.9304      74.3757    0.0000     179.3089
     4E04      4E05      68.5932      65.8572    0.0000     179.7014
     5E04      5E05      64.0598      59.4937    0.0000     178.3250
     6E04      6E05      63.7992      59.9728    0.0000     177.5608
     7E04      7E05      60.2969      55.2822    0.0000     173.1329
     8E04      8E05      61.2473      57.0682    0.0000     175.6813
     9E04      9E05      59.7807      54.9523    0.0000     178.4648
     1E05      1E06      52.3033      46.6726    0.0000     173.4305
     2E05      2E06      48.4371      40.1929    0.0000     175.7950
     3E05      3E06      44.7166      36.9860    0.0000     179.0659
     4E05      4E06      42.4574      33.8528    0.0000     173.1765
     5E05      5E06      41.3971      30.8493    0.0000     174.7983
     6E05      6E06      46.2017      36.0405    0.0000     178.6449
     7E05      7E06      38.1458      27.0167    0.0000     179.1998
     8E05      8E06      36.2166      26.4871    0.0000     174.0157
     9E05      9E06      36.8177      25.7513    0.0000     177.1666
     1E06      1E07      38.2170      24.0970    0.0000     178.2079
     2E06      2E07      35.8108      21.6170    0.0000     173.0536
     3E06      3E07      34.3012      19.8081    0.0000     178.4372
     4E06      4E07      31.8344      18.4219    0.0000     178.1970
     5E06      5E07      32.2452      19.9648    0.0000     166.1152
     6E06      6E07      34.3537      21.8598    0.0000     179.4418
     7E06      7E07      30.1055      17.0809    0.0000     171.8517
     8E06      8E07      30.0641      19.6367    0.0000     165.3941
     9E06      9E07      37.4058      22.9682    0.0000     179.6571
     1E07      1E08      34.6510      22.1277    0.0000     173.7027
     2E07      2E08      30.7404      16.6859    0.0000     179.1430
     3E07      3E08      34.5440      20.2611    0.0000     179.4372
     4E07      4E08      38.1386      26.2689    0.0000     174.0163
     5E07      5E08      36.0008      22.8324    0.0000     175.8618
     6E07      6E08      33.4484      17.6914    0.0000     173.5294
     7E07      7E08      37.7905      25.6194    0.0000     179.5946
     8E07      8E08      37.2598      24.9766    0.0000     177.0041
     9E07      9E08      35.7307      22.1503    0.0000     175.6484
     1E08      1E09      36.7843      24.3427    0.0000     178.5419
     2E08      2E09      31.0601      18.3285    0.0000     164.5180
     3E08      3E09      35.1790      20.3970    0.0000     179.8228
     4E08      4E09      36.6727      21.3654    0.0000     170.2656
     5E08      5E09      32.6238      18.3852    0.0000     176.5381
     6E08      6E09      32.8838      19.0446    0.0000     177.6280
     7E08      7E09      35.3305      22.3071    0.0000     178.8909
     8E08      8E09      35.1800      19.9857    0.0000     177.1845
     9E08      9E09      29.7268      18.5646    0.0000     177.1606
     1E09      1E10      30.3869      17.0047    0.0000     175.7530
     2E09      2E10      32.3820      18.7093    0.0000     179.2240
     3E09      3E10      37.5281      23.3297    0.0000     177.0945
     4E09      4E10      34.8345      21.3489    0.0000     179.4750
     5E09      5E10      33.5971      19.9419    0.0000     179.2021
     6E09      6E10      36.0291      20.5146    0.0000     179.4069
     7E09      7E10      33.2115      21.6385    0.0000     179.3868
     8E09      8E10      33.9615      19.5421    0.0000     176.0283
     9E09      9E10      32.1582      18.3569    0.0000     175.9749
     1E10      1E11      29.5701      16.8138    0.0000     172.5660
     2E10      2E11      32.3603      19.0134    0.0000     179.7509
     3E10      3E11      34.7759      20.4558    0.0000     168.0487
     4E10      4E11      34.4153      20.1472    0.0000     172.1466
     5E10      5E11      34.6609      20.2762    0.0000     178.4873
     6E10      6E11      28.1675      16.9344    0.0000     150.9039
     7E10      7E11      38.1707      25.5410    0.0000     175.2278
     8E10      8E11      32.7410      17.9486    0.0000     174.3602
     9E10      9E11      37.1090      26.0905    0.0000     178.6370
     1E11      1E12      31.5914      16.8166    0.0000     172.6133
     2E11      2E12      31.3593      17.6376    0.0000     171.9122
     3E11      3E12      30.7940      17.1406    0.0000     178.8245
     4E11      4E12      32.5438      17.8209    0.0000     176.4411
     5E11      5E12      35.1181      20.1830    0.0000     179.2975
     6E11      6E12      30.7940      17.1406    0.0000     178.8245
     7E11      7E12      35.8360      22.8953    0.0000     178.8560
     8E11      8E12      32.5438      17.8209    0.0000     176.4411
     9E11      9E12      30.1043      16.4917    0.0000     176.0789
     1E12      1E13      35.1181      20.1830    0.0000     179.2975
     2E12      2E13      35.1181      20.1830    0.0000     179.2975
     3E12      3E13      35.5645      20.7608    0.0000     174.0507
     4E12      4E13      35.1181      20.1830    0.0000     179.2975
     5E12      5E13      30.2522      15.8327    0.0000     172.1328
     6E12      6E13      35.5645      20.7608    0.0000     174.0507
     7E12      7E13      38.0801      23.1575    0.0000     176.8321
     8E12      8E13      35.1181      20.1830    0.0000     179.2975
     9E12      9E13      30.9627      18.1943    0.0000     176.8071
     1E13      1E14      30.2522      15.8327    0.0000     172.1328
     2E13      2E14      30.2522      15.8327    0.0000     172.1328
     3E13      3E14      35.0701      19.8738    0.0000     175.5330
     4E13      4E14      30.2522      15.8327    0.0000     172.1328
     5E13      5E14      34.0655      22.4507    0.0000     154.2631
     6E13      6E14      35.0701      19.8738    0.0000     175.5330
     7E13      7E14      34.4340      21.0869    0.0000     179.3898
     8E13      8E14      30.2522      15.8327    0.0000     172.1328
     9E13      9E14      33.3534      21.0644    0.0000     178.6932
     1E14      1E15      34.0655      22.4507    0.0000     154.2631
     2E14      2E15      34.0655      22.4507    0.0000     154.2631
     3E14      3E15      35.3372      22.7375    0.0000     175.4494
     4E14      4E15      34.0655      22.4507    0.0000     154.2631
     5E14      5E15      35.2300      20.6995    0.0000     179.1696
     6E14      6E15      35.3372      22.7375    0.0000     175.4494
     7E14      7E15      34.8329      20.2101    0.0000     179.9129
     8E14      8E15      34.0655      22.4507    0.0000     154.2631
     9E14      9E15      34.6535      20.7621    0.0000     165.1591
     1E15      1E16      35.2300      20.6995    0.0000     179.1696
     2E15      2E16      35.2300      20.6995    0.0000     179.1696
     3E15      3E16      34.1226      19.0452    0.0000     178.0409
     4E15      4E16      35.2300      20.6995    0.0000     179.1696
     5E15      5E16      34.4499      20.5152    0.0000     176.3456
     6E15      6E16      34.1226      19.0452    0.0000     178.0409
     7E15      7E16      37.0762      20.8087    0.0000     173.8227
     8E15      8E16      35.2300      20.6995    0.0000     179.1696
     9E15      9E16      31.0114      17.2595    0.0000     176.5103
     1E16      1E17      34.4499      20.5152    0.0000     176.3456
     2E16      2E17      34.4499      20.5152    0.0000     176.3456
     3E16      3E17      31.6342      20.5230    0.0000     174.6993
     4E16      4E17      34.4499      20.5152    0.0000     176.3456
     5E16      5E17      33.1460      19.0491    0.0000     165.2740
     6E16      6E17      31.6342      20.5230    0.0000     174.6993
     7E16      7E17      33.2294      20.6188    0.0000     174.8009
     8E16      8E17      34.4499      20.5152    0.0000     176.3456
     9E16      9E17      30.4860      17.9524    0.0000     155.4545
     1E17      1E18      33.1460      19.0491    0.0000     165.2740
     2E17      2E18      33.1460      19.0491    0.0000     165.2740
     3E17      3E18      32.4775      18.9536    0.0000     177.7461
     4E17      4E18      33.1460      19.0491    0.0000     165.2740
     5E17      5E18      35.7162      20.3788    0.0000     178.5670
     6E17      6E18      32.4775      18.9536    0.0000     177.7461
     7E17      7E18      35.2693      20.5216    0.0000     171.6803
     8E17      8E18      33.1460      19.0491    0.0000     165.2740
     9E17      9E18      34.3691      23.0964    0.0000     176.9695
     1E18      1E19      35.7162      20.3788    0.0000     178.5670
