  kp gain   kd gain         mean       median       min          max   % below 20
     2E03      2E04      90.8598      90.6461    0.0000     179.3826       2.6401
     5E03      5E04      89.6911      90.4533    0.0000     177.9596       2.6117
     7E03      7E04      91.3410      90.7002    0.0000     179.2508       1.9273
     1E04      1E05      86.5367      85.3208    0.0000     179.2290       1.7997
     1E04      1E05      85.9991      87.1890    0.0000     179.7664       3.9611
     1E04      1E05      88.8453      89.5138    0.0000     179.4308       3.7182
     1E04      1E05      85.7624      85.4502    0.0000     178.8054       4.0870
     2E04      2E05      81.2473      78.3777    0.0000     179.2286       4.3228
     2E04      2E05      79.8542      78.4950    0.0000     176.6933       4.3458
     2E04      2E05      75.7532      73.0890    0.0000     179.0656       5.9115
     2E04      2E05      78.1936      75.8024    0.0000     179.4393       3.1738
     3E04      3E05      76.9304      74.3757    0.0000     179.3089       2.9167
     3E04      3E05      76.6785      72.9936    0.0000     179.1486       3.4841
     3E04      3E05      73.5324      69.5813    0.0000     178.0390       4.8441
     3E04      3E05      71.0303      67.0048    0.0000     174.2649       5.0515
     4E04      4E05      68.5932      65.8572    0.0000     179.7014       5.6508
     4E04      4E05      74.4634      71.8450    0.0000     178.2901       5.5533
     4E04      4E05      69.2931      66.6326    0.0000     179.6916       7.2927
     4E04      4E05      67.1648      64.8270    0.0000     179.1577       7.1934
     5E04      5E05      64.0598      59.4937    0.0000     178.3250       7.5711
     5E04      5E05      66.8810      61.6181    0.0000     179.1898       7.8867
     5E04      5E05      63.4568      60.3421    0.0000     177.4726       6.1526
     5E04      5E05      61.7648      57.9646    0.0000     177.7611      10.7608
     6E04      6E05      63.7992      59.9728    0.0000     177.5608       7.0037
     6E04      6E05      64.4317      60.7724    0.0000     178.4694       6.3778
     6E04      6E05      63.4100      58.7079    0.0000     168.3208       8.2058
     6E04      6E05      59.5497      55.1174    0.0000     171.4054      11.8655
     7E04      7E05      60.2969      55.2822    0.0000     173.1329       8.9558
     7E04      7E05      63.8560      58.6027    0.0000     178.1583       7.8991
     7E04      7E05      63.5054      59.5219    0.0000     174.8778       7.2554
     7E04      7E05      60.1396      56.3766    0.0000     179.1171       8.6792
     8E04      8E05      61.2473      57.0682    0.0000     175.6813       9.8583
     8E04      8E05      61.4815      56.8590    0.0000     170.7659       8.4044
     8E04      8E05      60.4425      57.0259    0.0000     179.0031       7.0232
     8E04      8E05      59.0741      53.3459    0.0000     179.9557      10.1349
     9E04      9E05      59.7807      54.9523    0.0000     178.4648       9.7750
     9E04      9E05      58.5456      54.4159    0.0000     179.0327       7.4398
     9E04      9E05      56.8533      51.1330    0.0000     179.4692      11.1935
     9E04      9E05      59.2663      54.5666    0.0000     179.2928      10.2803
     2E04      2E05      75.7532      73.0890    0.0000     179.0656       5.9115
     5E04      5E05      64.0598      59.4937    0.0000     178.3250       7.5711
     7E04      7E05      63.5054      59.5219    0.0000     174.8778       7.2554
     1E05      1E06      52.3033      46.6726    0.0000     173.4305      12.7431
     1E05      1E06      50.0542      44.6248    0.0000     165.7505      13.2378
     1E05      1E06      50.5500      43.5830    0.0000     175.4230      13.8176
     1E05      1E06      51.9891      44.1627    0.0000     176.8252      13.7680
     2E05      2E06      48.4371      40.1929    0.0000     175.7950      19.8248
