  kp gain   kd gain         mean       median       min          max   % below 20
  1.00E01   1.00E02      90.8912      90.4964    0.0000     179.2037       2.2110
  1.25E01   1.25E02      90.8912      90.4964    0.0000     179.2037       2.2110
  1.50E01   1.50E02      90.8912      90.4964    0.0000     179.2037       2.2110
  1.75E01   1.75E02      90.8912      90.4964    0.0000     179.2037       2.2110
  2.00E01   2.00E02      90.8912      90.4964    0.0000     179.2037       2.2110
  2.25E01   2.25E02      90.8912      90.4964    0.0000     179.2037       2.2110
  2.50E01   2.50E02      90.8912      90.4964    0.0000     179.2037       2.2110
  2.75E01   2.75E02      90.8912      90.4964    0.0000     179.2037       2.2110
  3.00E01   3.00E02      90.8912      90.4964    0.0000     179.2037       2.2110
  3.25E01   3.25E02      90.8912      90.4964    0.0000     179.2037       2.2110
  3.50E01   3.50E02      90.8912      90.4964    0.0000     179.2037       2.2110
  3.75E01   3.75E02      90.8912      90.4964    0.0000     179.2037       2.2110
  4.00E01   4.00E02      90.8912      90.4964    0.0000     179.2037       2.2110
  4.25E01   4.25E02      90.8912      90.4964    0.0000     179.2037       2.2110
  4.50E01   4.50E02      90.8912      90.4964    0.0000     179.2037       2.2110
  4.75E01   4.75E02      90.8912      90.4964    0.0000     179.2037       2.2110
  5.00E01   5.00E02      90.8912      90.4964    0.0000     179.2037       2.2110
  5.25E01   5.25E02      90.8912      90.4964    0.0000     179.2037       2.2110
  5.50E01   5.50E02      90.8912      90.4964    0.0000     179.2037       2.2110
  5.75E01   5.75E02      90.8912      90.4964    0.0000     179.2037       2.2110
  6.00E01   6.00E02      90.8912      90.4964    0.0000     179.2037       2.2110
  6.25E01   6.25E02      90.8912      90.4964    0.0000     179.2037       2.2110
  6.50E01   6.50E02      90.8912      90.4964    0.0000     179.2037       2.2110
  6.75E01   6.75E02      90.8912      90.4964    0.0000     179.2037       2.2110
  7.00E01   7.00E02      90.8912      90.4964    0.0000     179.2037       2.2110
  7.25E01   7.25E02      90.8912      90.4964    0.0000     179.2037       2.2110
  7.50E01   7.50E02      90.8912      90.4964    0.0000     179.2037       2.2110
  7.75E01   7.75E02      90.8912      90.4964    0.0000     179.2037       2.2110
  8.00E01   8.00E02      90.8912      90.4964    0.0000     179.2037       2.2110
  8.25E01   8.25E02      90.8912      90.4964    0.0000     179.2037       2.2110
  8.50E01   8.50E02      90.8912      90.4964    0.0000     179.2037       2.2110
  8.75E01   8.75E02      90.8912      90.4964    0.0000     179.2037       2.2110
  9.00E01   9.00E02      90.8912      90.4964    0.0000     179.2037       2.2110
  9.25E01   9.25E02      90.8912      90.4964    0.0000     179.2037       2.2110
  9.50E01   9.50E02      90.8912      90.4964    0.0000     179.2037       2.2110
  9.75E01   9.75E02      90.8912      90.4964    0.0000     179.2037       2.2110
  1.00E02   1.00E03      90.8912      90.4964    0.0000     179.2037       2.2110
  1.25E02   1.25E03      90.8912      90.4964    0.0000     179.2037       2.2110
  1.50E02   1.50E03      90.8912      90.4964    0.0000     179.2037       2.2110
  1.75E02   1.75E03      90.8912      90.4964    0.0000     179.2037       2.2110
  2.00E02   2.00E03      90.8912      90.4964    0.0000     179.2037       2.2110
  2.25E02   2.25E03      90.8912      90.4964    0.0000     179.2037       2.2110
  2.50E02   2.50E03      90.8912      90.4964    0.0000     179.2037       2.2110
  2.75E02   2.75E03      90.8912      90.4964    0.0000     179.2037       2.2110
  3.00E02   3.00E03      90.8912      90.4964    0.0000     179.2037       2.2110
  3.25E02   3.25E03      90.8912      90.4964    0.0000     179.2037       2.2110
  3.50E02   3.50E03      90.8912      90.4964    0.0000     179.2037       2.2110
  3.75E02   3.75E03      90.8912      90.4964    0.0000     179.2037       2.2110
  4.00E02   4.00E03      90.8912      90.4964    0.0000     179.2037       2.2110
  4.25E02   4.25E03      90.8912      90.4964    0.0000     179.2037       2.2110
  4.50E02   4.50E03      90.8912      90.4964    0.0000     179.2037       2.2110
  4.75E02   4.75E03      90.8912      90.4964    0.0000     179.2037       2.2110
  5.00E02   5.00E03      90.8912      90.4964    0.0000     179.2037       2.2110
  5.25E02   5.25E03      90.8912      90.4964    0.0000     179.2037       2.2110
  5.50E02   5.50E03      90.8912      90.4964    0.0000     179.2037       2.2110
  5.75E02   5.75E03      90.8912      90.4964    0.0000     179.2037       2.2110
  6.00E02   6.00E03      90.8912      90.4964    0.0000     179.2037       2.2110
  6.25E02   6.25E03      90.8912      90.4964    0.0000     179.2037       2.2110
  6.50E02   6.50E03      90.8912      90.4964    0.0000     179.2037       2.2110
  6.75E02   6.75E03      90.8912      90.4964    0.0000     179.2037       2.2110
  7.00E02   7.00E03      90.8912      90.4964    0.0000     179.2037       2.2110
  7.25E02   7.25E03      90.8912      90.4964    0.0000     179.2037       2.2110
  7.50E02   7.50E03      90.8912      90.4964    0.0000     179.2037       2.2110
  7.75E02   7.75E03      90.8912      90.4964    0.0000     179.2037       2.2110
  8.00E02   8.00E03      90.8912      90.4964    0.0000     179.2037       2.2110
  8.25E02   8.25E03      90.8912      90.4964    0.0000     179.2037       2.2110
  8.50E02   8.50E03      90.8912      90.4964    0.0000     179.2037       2.2110
  8.75E02   8.75E03      90.8912      90.4964    0.0000     179.2037       2.2110
  9.00E02   9.00E03      90.8912      90.4964    0.0000     179.2037       2.2110
  9.25E02   9.25E03      90.8912      90.4964    0.0000     179.2037       2.2110
  9.50E02   9.50E03      90.8912      90.4964    0.0000     179.2037       2.2110
  9.75E02   9.75E03      90.8912      90.4964    0.0000     179.2037       2.2110
  1.00E03   1.00E04      90.8912      90.4964    0.0000     179.2037       2.2110
  1.25E03   1.25E04      90.8912      90.4964    0.0000     179.2037       2.2110
  1.50E03   1.50E04      90.8912      90.4964    0.0000     179.2037       2.2110
  1.75E03   1.75E04      90.8912      90.4964    0.0000     179.2037       2.2110
  2.00E03   2.00E04      90.8912      90.4964    0.0000     179.2037       2.2110
  2.25E03   2.25E04      90.8912      90.4964    0.0000     179.2037       2.2110
  2.50E03   2.50E04      90.8912      90.4964    0.0000     179.2037       2.2110
  2.75E03   2.75E04      90.8912      90.4964    0.0000     179.2037       2.2110
  3.00E03   3.00E04      90.8912      90.4964    0.0000     179.2037       2.2110
  3.25E03   3.25E04      90.8912      90.4964    0.0000     179.2037       2.2110
  3.50E03   3.50E04      90.8912      90.4964    0.0000     179.2037       2.2110
  3.75E03   3.75E04      90.8912      90.4964    0.0000     179.2037       2.2110
  4.00E03   4.00E04      90.8912      90.4964    0.0000     179.2037       2.2110
  4.25E03   4.25E04      90.8912      90.4964    0.0000     179.2037       2.2110
  4.50E03   4.50E04      90.8912      90.4964    0.0000     179.2037       2.2110
  4.75E03   4.75E04      90.9506      90.4496    0.0000     179.2037       2.5125
  5.00E03   5.00E04      91.3320      90.6321    0.0000     179.2037       1.9575
  5.25E03   5.25E04      91.2259      91.1493    0.0000     178.6407       2.5763
  5.50E03   5.50E04      87.3008      87.1490    0.0000     179.7128       2.6703
  5.75E03   5.75E04      93.5125      93.9756    0.0000     178.6495       5.7749
  6.00E03   6.00E04      88.3123      87.9946    0.0000     179.4566       2.2483
  6.25E03   6.25E04      89.1867      88.9599    0.0000     179.7841       4.7448
  6.50E03   6.50E04      87.8954      85.3568    0.0000     179.9021       3.3618
  6.75E03   6.75E04      93.7302      90.6570    0.0000     179.4235       3.0462
  7.00E03   7.00E04      88.0862      86.5943    0.0000     179.7799       3.1100
  7.25E03   7.25E04      91.4623      91.7092    0.0000     177.8892       2.2926
  7.50E03   7.50E04      88.1076      89.1509    0.0000     178.0982       3.8068
  7.75E03   7.75E04      85.0685      84.9812    0.0000     179.9021       4.2217
  8.00E03   8.00E04      88.9189      89.5626    0.0000     178.5218       2.4025
  8.25E03   8.25E04      85.3917      86.4122    0.0000     179.2367       3.8316
  8.50E03   8.50E04      82.7307      81.0814    0.0000     177.5690       4.6313
  8.75E03   8.75E04      86.4452      86.7254    0.0000     179.5992       4.0923
  9.00E03   9.00E04      81.1233      81.9543    0.0000     177.3133       4.3990
  9.25E03   9.25E04      80.7397      77.6878    0.0000     177.2280       2.8937
  9.50E03   9.50E04      84.6519      84.2796    0.0000     177.6549       4.4451
  9.75E03   9.75E04      85.3663      83.7707    0.0000     179.0882       2.8813
  1.00E04   1.00E05      86.4404      87.1360    0.0000     177.9446       2.8830
  1.25E04   1.25E05      81.6638      82.2633    0.0000     179.7602       4.7873
  1.50E04   1.50E05      76.7069      74.7846    0.0000     176.7454       4.3547
  1.75E04   1.75E05      76.9314      75.9740    0.0000     175.8788       4.4540
  2.00E04   2.00E05      74.1872      72.4820    0.0000     177.9192       4.3139
  2.25E04   2.25E05      74.9486      71.5075    0.0000     179.1944       5.2749
  2.50E04   2.50E05      63.9003      60.6457    0.0000     171.3815       6.4416
  2.75E04   2.75E05      53.0335      47.0424    0.0000     171.9176       8.8760
  3.00E04   3.00E05      63.8081      60.3570    0.0000     171.0190       6.6757
